Asset,Date,Count visitation
Baldivis,12/05/2022,11451
Baldivis,13/05/2022,11959
Baldivis,14/05/2022,11435
Baldivis,15/05/2022,7554
Baldivis,16/05/2022,10978
Baldivis,17/05/2022,10336
Baldivis,18/05/2022,10568
Baldivis,19/05/2022,12101
Baldivis,20/05/2022,11601
Baldivis,21/05/2022,11374
Baldivis,22/05/2022,7463
Baldivis,23/05/2022,10137
Baldivis,24/05/2022,10966
Baldivis,25/05/2022,10618
Baldivis,26/05/2022,11816
Baldivis,27/05/2022,11934
Baldivis,28/05/2022,11389
Baldivis,29/05/2022,7958
Baldivis,30/05/2022,9421
Baldivis,31/05/2022,7
Baldivis,1/06/2022,11002
Baldivis,2/06/2022,12348
Baldivis,3/06/2022,11875
Baldivis,4/06/2022,11404
Baldivis,5/06/2022,6925
Baldivis,6/06/2022,8548
Baldivis,7/06/2022,11401
Baldivis,8/06/2022,10774
Baldivis,9/06/2022,12407
Baldivis,10/06/2022,11856
Baldivis,11/06/2022,11811
Baldivis,12/06/2022,7724
Baldivis,13/06/2022,10854
Baldivis,14/06/2022,10413
Baldivis,15/06/2022,11447
Baldivis,16/06/2022,12046
Baldivis,17/06/2022,11687
Baldivis,18/06/2022,11620
Baldivis,19/06/2022,8054
Baldivis,20/06/2022,10992
Baldivis,21/06/2022,10273
Baldivis,22/06/2022,11024
Baldivis,23/06/2022,12341
Baldivis,24/06/2022,11723
Baldivis,25/06/2022,11133
Baldivis,26/06/2022,7947
Baldivis,27/06/2022,11152
Baldivis,28/06/2022,10929
Baldivis,29/06/2022,11021
Baldivis,30/06/2022,11941
Balgowlah,1/01/2021,7363
Balgowlah,2/01/2021,6439
Balgowlah,3/01/2021,7903
Balgowlah,4/01/2021,7668
Balgowlah,5/01/2021,7837
Balgowlah,6/01/2021,7688
Balgowlah,7/01/2021,7844
Balgowlah,8/01/2021,7481
Balgowlah,9/01/2021,6801
Balgowlah,10/01/2021,8007
Balgowlah,11/01/2021,7670
Balgowlah,12/01/2021,7669
Balgowlah,13/01/2021,7768
Balgowlah,14/01/2021,8244
Balgowlah,15/01/2021,7527
Balgowlah,16/01/2021,6521
Balgowlah,17/01/2021,7684
Balgowlah,18/01/2021,7075
Balgowlah,19/01/2021,7542
Balgowlah,20/01/2021,7824
Balgowlah,21/01/2021,8715
Balgowlah,22/01/2021,8149
Balgowlah,23/01/2021,6619
Balgowlah,24/01/2021,9453
Balgowlah,25/01/2021,6031
Balgowlah,26/01/2021,7999
Balgowlah,27/01/2021,8218
Balgowlah,28/01/2021,8391
Balgowlah,29/01/2021,8875
Balgowlah,30/01/2021,7889
Balgowlah,31/01/2021,8032
Balgowlah,1/02/2021,7521
Balgowlah,2/02/2021,7445
Balgowlah,3/02/2021,7945
Balgowlah,4/02/2021,8443
Balgowlah,5/02/2021,9442
Balgowlah,6/02/2021,7238
Balgowlah,7/02/2021,7857
Balgowlah,8/02/2021,7503
Balgowlah,9/02/2021,7722
Balgowlah,10/02/2021,8046
Balgowlah,11/02/2021,8715
Balgowlah,12/02/2021,9608
Balgowlah,13/02/2021,23
Balgowlah,14/02/2021,7827
Balgowlah,15/02/2021,7950
Balgowlah,16/02/2021,7524
Balgowlah,17/02/2021,7796
Balgowlah,18/02/2021,8659
Balgowlah,19/02/2021,8683
Balgowlah,20/02/2021,7489
Balgowlah,21/02/2021,7929
Balgowlah,22/02/2021,7488
Balgowlah,23/02/2021,7476
Balgowlah,24/02/2021,7838
Balgowlah,25/02/2021,8281
Balgowlah,26/02/2021,8704
Balgowlah,27/02/2021,7149
Balgowlah,28/02/2021,7869
Balgowlah,1/03/2021,7665
Balgowlah,2/03/2021,7451
Balgowlah,3/03/2021,7905
Balgowlah,4/03/2021,8426
Balgowlah,5/03/2021,8638
